"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1530","RT @pablonegri: <U+0001F534> HOY <U+0001F534> a partir de las 6 PM en Plaza Italia y hasta las 9 PM en Plaza Los Héroes... 2ª Marcha Global Contra la #CrisisClim…",FALSE,0,NA,2019-05-24 21:48:35,FALSE,NA,"1132040723329703936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PlazaItaliaStgo",14,TRUE,FALSE,NA,NA
"1531","En vivo <U+270A><U+0001F333><U+0001F33F><U+0001F30E> 2ª Marcha Global Contra la #CrisisClimática y Ecológica #EmergenciaClimática #CambioClimático… https://t.co/X4Ihuoxkp0",FALSE,31,NA,2019-05-24 21:48:10,TRUE,NA,"1132040619084451840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pablonegri",18,FALSE,FALSE,NA,NA
"1532","RT @ypachconce: #CambioClimático 
#CalentamientoGlobal 
#planetatierramuriendo
#animales 
#Tierra 
#agua 
Te hago un dibujo para que lo ent…",FALSE,0,NA,2019-05-24 21:47:46,FALSE,NA,"1132040517699682305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","o_erre_",1,TRUE,FALSE,NA,NA
"1533","*<U+20E3> Esto es lo que ocurriría si se derritiera todo el hielo del planeta #CambioClimático https://t.co/AlNfQNo2SN",FALSE,0,NA,2019-05-24 21:47:12,FALSE,NA,"1132040375223431176",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tuiterricolas",1,FALSE,FALSE,NA,NA
"1534","RT @Antarcticacl: Entretenido estuvo el Simposio co-organizado por @Antarcticacl sobre Mitigación y Adaptación al #CambioClimatico el Miérc…",FALSE,0,NA,2019-05-24 21:47:00,FALSE,NA,"1132040324707180546",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doraphotography",51,TRUE,FALSE,NA,NA
"1535","Las ciudades en EEUU que terminarán bajo el agua
https://t.co/QoB3LmMnfu #cambioclimático",FALSE,0,NA,2019-05-24 21:46:42,FALSE,NA,"1132040249096384512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ACristinaTLMD20",0,FALSE,FALSE,NA,NA
"1536","<U+2B07><U+FE0F> La capital de Indonesia será reubicada porque se está hundiendo #CambioClimático https://t.co/PIITpUlc7x",FALSE,0,NA,2019-05-24 21:46:41,FALSE,NA,"1132040244801482752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZonaMediatica",0,FALSE,FALSE,NA,NA
"1537","RT @FiretSarga: <U+0001F525><U+0001F525>Para  los que miran a otro lado cuando no hay servicios de prevención y extincion de IIFF todo el año. Zasca Estadísticas…",FALSE,0,NA,2019-05-24 21:46:38,FALSE,NA,"1132040232994562050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tetra51",6,TRUE,FALSE,NA,NA
"1538","RT @sindarro: Nin un grado mais
Nin unha  especie menos...  las consignas de la manifestación  contra el #CambioClimático en #Coruña Poca g…",FALSE,0,NA,2019-05-24 21:45:42,FALSE,NA,"1132039998004486144",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","mananirx",1,TRUE,FALSE,NA,NA
"1539","<U+27A1><U+FE0F> Mala noticia para los bebedores de cerveza: será escasa y muy cara por culpa del calentamiento global… https://t.co/NGlM0liDiR",FALSE,0,NA,2019-05-24 21:43:44,TRUE,NA,"1132039504578207750",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DatoAlMinuto",0,FALSE,FALSE,NA,NA
"1540","Generciones unidas en la lucha contra los estragos #CambioClimático en #FridaysForFuture Bogotá Colombia
<U+2066>… https://t.co/pMQYEjugXr",FALSE,0,NA,2019-05-24 21:43:24,TRUE,NA,"1132039417940643840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tikopineda",2,FALSE,FALSE,NA,NA
"1541","RT @UEenPeru: Este 30 de mayo #CafecitoConEuropa<U+2615> visita la @UNMSM_ para hablar con los jóvenes sobre su rol y compromiso ante el #CambioCl…",FALSE,0,NA,2019-05-24 21:42:37,FALSE,NA,"1132039221928124416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GQuijandriaA",9,TRUE,FALSE,NA,NA
